hash,confirmations,strippedSize,size,weight,height,version,merkleRoot,txnCount,reward,txnFeeTotal,totalInputValue,totalOutputValue,time,nonce,bits,difficulty,previousBlockHash,nextBlockHash
00000000cf40db66c027fec74b973778b566197d133f0682301781055e19b2be,324896,216,216,864,31514,1,b9151bd9b82ac0ceab0b2f0a5684d60ebe9aca1a251a10d2b8f42e38cceaa373,1,50,0,0,50,2009-12-25 08:57:44 -0500 EST,908186,1d00ffff,1,0000000002b24ff1950e5d8016211ecf87b624720332c5c2093c1141c13a970a,0000000036c51277bcd8978075469a024cb6eb18e9f53e1e602ab96bc9d9b9ad
0000000036c51277bcd8978075469a024cb6eb18e9f53e1e602ab96bc9d9b9ad,324895,216,216,864,31515,1,4a871cdc9e90973b9c776e1fcbef88221aa95d47b72b7fd41bca68564e84431c,1,50,0,0,50,2009-12-25 09:28:58 -0500 EST,3892120854,1d00ffff,1,00000000cf40db66c027fec74b973778b566197d133f0682301781055e19b2be,000000001f3a04292f7f31c5e98417b37a3f87c305159d25a18ac75474bf632c
000000001f3a04292f7f31c5e98417b37a3f87c305159d25a18ac75474bf632c,324894,216,216,864,31516,1,4d34e5d2c3afb148879588e7b956c838e4728c0b47805e4075ed22eefe945312,1,50,0,0,50,2009-12-25 09:36:40 -0500 EST,136941743,1d00ffff,1,0000000036c51277bcd8978075469a024cb6eb18e9f53e1e602ab96bc9d9b9ad,000000003580451501c492032c06dc40f2c094554c4cafecfcce0cec2162fccf
000000003580451501c492032c06dc40f2c094554c4cafecfcce0cec2162fccf,324893,216,216,864,31517,1,e7cc83c19dee54d1f96e0f3752a046dd13e60ad2e7c2574c663be22dcf6b5e5d,1,50,0,0,50,2009-12-25 09:58:26 -0500 EST,513228339,1d00ffff,1,000000001f3a04292f7f31c5e98417b37a3f87c305159d25a18ac75474bf632c,00000000897a62f49ad52610af511c640497b968bc39dcc3406d5368493cc4c6
00000000897a62f49ad52610af511c640497b968bc39dcc3406d5368493cc4c6,324892,215,215,860,31518,1,72f70b4ab342f841dfb74585cddca8df4ab67f6d5bb870141cc01d5d08b438dc,1,50,0,0,50,2009-12-25 10:02:39 -0500 EST,90685350,1d00ffff,1,000000003580451501c492032c06dc40f2c094554c4cafecfcce0cec2162fccf,00000000b07056bc2efe21e01d2b55c260ddf9358e15ccaee6800466cc51412a
00000000b07056bc2efe21e01d2b55c260ddf9358e15ccaee6800466cc51412a,324891,215,215,860,31519,1,365bf3c8f32190628b6170c4cdf949b32ea662881f9919907d713271d87ad5ea,1,50,0,0,50,2009-12-25 10:18:33 -0500 EST,320197931,1d00ffff,1,00000000897a62f49ad52610af511c640497b968bc39dcc3406d5368493cc4c6,0000000071441b085d6d06e5c709e070a1761c65ef4a4cb38405a3fa1dc0ad83
0000000071441b085d6d06e5c709e070a1761c65ef4a4cb38405a3fa1dc0ad83,324890,216,216,864,31520,1,6b3755e001d114eb4b631100942c1faf50caeb77a006a4f7d3e9384aa76225f6,1,50,0,0,50,2009-12-25 10:20:22 -0500 EST,35700362,1d00ffff,1,00000000b07056bc2efe21e01d2b55c260ddf9358e15ccaee6800466cc51412a,00000000be74b61e9f1f72f7a26e0ff52e75120283f54b29a6450b8e4fc58cbf
00000000be74b61e9f1f72f7a26e0ff52e75120283f54b29a6450b8e4fc58cbf,324889,216,216,864,31521,1,3186f650f9a551ade9ee83e30c0cb4da85f74794b70d4cbdea7263fb6c88ed73,1,50,0,0,50,2009-12-25 10:32:03 -0500 EST,209488822,1d00ffff,1,0000000071441b085d6d06e5c709e070a1761c65ef4a4cb38405a3fa1dc0ad83,00000000c2e51a1ecc68e38caeb12e8fe31b65988f74a0cc7ef368cf4f485d3f
00000000c2e51a1ecc68e38caeb12e8fe31b65988f74a0cc7ef368cf4f485d3f,324888,216,216,864,31522,1,130b11c17381f95b90bb0c96fadd027bfd688b8525e4eee15cc7ea2f379bde6d,1,50,0,0,50,2009-12-25 10:42:21 -0500 EST,192382880,1d00ffff,1,00000000be74b61e9f1f72f7a26e0ff52e75120283f54b29a6450b8e4fc58cbf,00000000bba9673e648c6d6f5ab423317eebdd5ac6c4704dd498d64e6b4302b7
00000000bba9673e648c6d6f5ab423317eebdd5ac6c4704dd498d64e6b4302b7,324887,216,216,864,31523,1,150bf922cb94720ebd877f8810e8aeb52dbbc5756ed8482837994ed975a5dcc8,1,50,0,0,50,2009-12-25 11:08:38 -0500 EST,470054339,1d00ffff,1,00000000c2e51a1ecc68e38caeb12e8fe31b65988f74a0cc7ef368cf4f485d3f,00000000d3d761c869b9f1f1df2e6aeb64242222d2f9e972dbbaa8574e384c78
